player_id,game_id,team_id,timeOnIce,assists,goals,shots,hits,powerPlayGoals,powerPlayAssists,penaltyMinutes,faceOffWins,faceoffTaken,takeaways,giveaways,shortHandedGoals,shortHandedAssists,blocked,plusMinus,evenTimeOnIce,shortHandedTimeOnIce,powerPlayTimeOnIce
8479382,42399434301,84,11695,1,1,18,29.0,0,0,2,36,96,1.0,4.0,0,0,2.0,7,11617,38,40
8479385,56532581189,532,18302,5,4,39,8.0,0,1,8,2,5,13.0,6.0,0,0,8.0,1,17730,0,572
8479388,68646705865,442,39002,5,0,39,59.0,0,0,14,0,0,13.0,28.0,0,0,57.0,-3,34070,4842,90
8479393,56532575648,784,16899,2,3,33,50.0,1,1,8,6,19,6.0,7.0,0,0,6.0,-5,16311,0,588
8479395,72684733154,612,41518,6,2,51,15.0,1,4,6,0,0,4.0,21.0,0,0,35.0,-26,35282,485,5751
8479398,141331438918,1470,89515,30,4,96,46.0,1,12,17,0,0,38.0,39.0,0,0,92.0,1,79004,398,10113
8479400,141331438055,2030,75314,31,18,158,85.0,1,9,49,359,805,27.0,46.0,0,0,50.0,-2,63665,428,11221
8479404,8076080142,52,2972,0,0,3,1.0,0,0,2,13,27,3.0,1.0,0,0,0.0,-2,2564,45,363
8479407,121141233893,60,50338,16,16,101,29.0,1,5,6,3,13,18.0,24.0,0,0,22.0,-6,42977,114,7247
8479410,141331439300,980,85543,24,10,118,106.0,5,8,58,0,0,18.0,39.0,1,0,99.0,15,72790,4878,7875
8479411,4038040113,18,694,0,1,3,0.0,0,0,2,0,0,0.0,1.0,0,0,0.0,0,694,0,0
8479415,24228249938,12,7365,2,0,11,19.0,0,0,4,40,80,4.0,0.0,0,0,6.0,4,7251,102,12
8479420,2019020314,7,419,0,0,0,2.0,0,0,0,0,0,1.0,0.0,0,0,0.0,0,419,0,0
8479423,131236335783,1040,47327,16,10,94,29.0,0,2,10,5,19,25.0,23.0,0,0,14.0,-2,42783,0,4544
8479424,8076081394,16,1633,0,0,1,4.0,0,0,0,6,14,1.0,1.0,0,0,4.0,-1,1633,0,0
8479425,131236333605,1105,93194,22,9,125,105.0,1,9,46,0,0,18.0,76.0,0,0,74.0,-38,70667,11300,11227
8479442,139312417081,1587,63539,12,5,86,69.0,0,0,32,0,0,16.0,25.0,0,0,70.0,10,60947,2268,324
8479458,117103191743,522,77092,11,1,64,108.0,0,0,22,0,0,20.0,44.0,0,0,121.0,-8,66187,10429,476
8479465,80760824273,640,28357,6,9,56,81.0,1,0,32,4,14,19.0,5.0,0,1,16.0,-3,26524,1445,388
8479466,90855921636,990,30681,5,0,58,64.0,0,0,12,2,4,9.0,13.0,0,0,25.0,-11,28598,1918,165
8479482,117103193578,870,64848,15,3,73,42.0,0,0,22,0,0,13.0,35.0,0,0,72.0,19,59133,5504,211
8479510,2019020913,10,608,0,1,1,1.0,0,0,0,0,0,1.0,0.0,0,0,0.0,1,608,0,0
8479511,2019021072,1,724,0,0,0,3.0,0,0,0,0,0,0.0,1.0,0,0,0.0,0,711,0,13
8479523,12114126093,96,5090,1,0,3,11.0,0,0,0,0,0,1.0,0.0,0,0,6.0,3,4891,104,95
8479526,24228247773,24,5696,0,0,4,12.0,0,0,2,24,65,2.0,3.0,0,0,4.0,0,5624,72,0
8479542,2019021079,16,708,0,0,4,1.0,0,0,0,0,0,1.0,0.0,0,0,1.0,0,708,0,0
8479557,6057062899,87,1486,0,0,1,5.0,0,0,0,2,2,0.0,0.0,0,0,0.0,0,1486,0,0
8479571,6057061766,84,2299,0,0,3,3.0,0,0,2,0,0,2.0,0.0,0,0,4.0,-2,2256,0,43
